G,W,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB,POSTSEASON,YEAR
31,19,111.4,103,0.7095,53.1,50.5,17.3,16.7,33,29.4,43.9,40.2,52.7,49.1,36,35.3,65.8,-2,0,2014
32,13,106,99.1,0.6857,49.6,51.4,18,19.4,26.7,26.6,28.7,28,50,53.1,32.6,32.3,65.4,-7.1,0,2022
32,17,100.2,104.2,0.3903,49.3,49.6,19.5,18.5,30.5,26.8,34.5,33,47.8,49.4,34.9,33.5,66.7,-10.5,0,2023
32,22,110.4,108.4,0.5522,54,52.9,17.3,15.7,28.1,26.5,33.4,30,49,50.2,40.3,38.7,70.3,-2.7,0,2016
35,25,113.4,105.4,0.6977,57.6,52,18.6,20.5,28.2,33.3,41.2,42.9,56.9,52.1,39,34.5,69.3,-2,0,2014
30,14,99.7,99.3,0.5111,48.6,51.1,22.9,22.9,33.3,29.7,38.8,37.3,50.7,51.8,29.1,33.2,66.7,-10,0,2023
29,11,95.9,103.2,0.2992,50.9,51.5,21.5,20.3,19.6,29.4,26.8,38.9,51.6,53.8,33.3,31.2,63.2,-10.1,0,2022
32,7,98.6,117.3,0.1193,50.1,56.6,17.4,19.4,24.9,28.9,42.2,38.8,50.4,56.4,33.1,38,70.1,-20.5,0,2016
30,7,100.5,109.9,0.2635,45.3,51.8,17.7,13.5,29.6,28,42.2,31.9,43.7,51.4,32.5,34.8,68.1,-15.3,0,2016
30,18,105.5,104.2,0.5345,53.4,49.5,18.3,18.7,28.4,24.9,36.8,45.3,51.8,49.5,37.3,33,66.1,-5.7,0,2016
29,10,98.2,104.2,0.336,54.4,52.3,22.6,19.4,24.3,27.2,42.5,40.3,54.9,51.7,35.6,35.3,71.9,-14.9,0,2019
32,11,104.7,106.2,0.4601,47,51.4,18.2,17.8,32.5,32.9,36.6,45,46,49.1,32.9,37.4,68.5,-9.9,0,2014
35,22,96.2,91.6,0.6391,49.5,46.8,20.3,24.3,26.4,29.1,33,43.5,48.4,47.3,34.6,30.5,63.2,-5.9,0,2013
30,8,93.9,107.1,0.1804,44,50.7,16.7,20.8,30.4,33.9,35.8,38.5,43.6,52.5,30.1,31.2,70,-17.4,0,2016
29,3,96.7,113.9,0.1322,46.5,54.1,17.2,15.3,22.7,31.9,32.6,33.2,46.8,53.6,30.4,37,66.3,-19.8,0,2014
30,14,107.1,117.9,0.2496,53.6,54,19.3,13.7,25,35,27.7,23.5,51.5,54.3,37.5,35.4,75.1,-10.9,0,2018
28,20,105.4,106.1,0.4784,56,50.1,17.5,15.9,19.3,26.8,35.1,31.8,52.5,49.2,41,34.7,68.5,-6.1,0,2018
27,13,94.2,102.9,0.2664,46.5,50.9,21,17.8,26.7,28.9,35.2,30.7,47.8,51.7,29.5,33,71.6,-11.5,0,2022
31,13,107.4,107.4,0.502,49.6,52.4,17.3,14.1,26.4,30.3,39.7,34.1,48.7,50.8,34.2,37.4,67.8,-6.8,0,2015
34,26,115.4,98,0.867,55.5,48.1,17.6,15.8,27.4,24.5,34.9,30.3,54.5,46.2,37.9,34.5,68.6,2.9,2,2023
18,13,107.5,107.6,0.4978,55.9,55.8,17.5,23.3,26.4,28.6,28.4,28.2,55.9,52.4,37.1,39.5,64.5,-4.8,0,2021
31,15,101.4,103.6,0.44,46.5,49.3,20.2,15.7,41.3,25.8,41.1,42.2,45.4,45.9,33.5,37.8,66.6,-11.6,0,2013
36,21,110,93.2,0.8703,48.5,46.7,16,18.6,32.9,29.5,39.5,35.7,48.9,44.4,31.9,34.3,69.9,0.1,0,2016
27,5,94.1,115.4,0.0872,47.2,52.1,17.7,14.4,23,35.7,29.6,31.1,45.7,51.9,33.1,35,68.5,-17,0,2016
37,26,120.7,97.1,0.9242,52,50.1,16.7,16.3,37.4,25.5,28,26,51,45.3,35.9,38,72.6,7.1,3,2018
36,26,121.1,97.2,0.9265,53.3,49.7,13,19.2,32.3,30,30,26.3,52.5,49.9,36.3,32.9,69.8,4.5,2,2022
30,7,95.1,109.1,0.1713,47.8,53,19.6,16.6,25.4,31.4,30.5,36,45.5,53.6,34.1,34.8,67.6,-16.1,0,2022
28,11,98,110.6,0.1987,48.1,54.1,18.7,17.8,29.2,29.4,39.7,47,47.5,51.8,32.6,38.3,68.2,-12,0,2015
32,14,107.5,96.4,0.777,52,47.4,20.1,17.3,29,30.5,42.6,38.8,51.8,46.8,34.9,32.4,70.3,-4.6,0,2017
31,15,99.3,102.7,0.4053,46.4,50.2,20.2,19.2,34.5,27.9,32.2,32.4,45.2,50.5,32.8,33.1,70.5,-9.3,0,2023
31,13,99.2,93.7,0.6571,47.2,46.8,18.4,20.4,32,31.8,33.1,32.9,47.1,44.4,31.7,34.8,62.3,-7.7,0,2013
34,21,102.1,98.4,0.6042,50,44.1,19.9,15.3,31.9,26.4,29.7,40.2,48.2,41.6,35.6,32.7,67.9,-7.4,0,2017
32,19,104.5,107.9,0.4084,51.5,53.2,16.4,19.4,25.6,27.6,29,29.4,49,51.8,36.3,36.7,67.6,-8.6,0,2018
31,8,91.2,107.2,0.1355,47.1,50.8,22,18.2,25,34.5,40.4,39.7,47.7,49.3,30.9,35.9,69.8,-16.7,0,2016
28,7,99.4,107.8,0.2828,50.3,50.2,19.7,16.1,26.5,29.4,31.2,42.6,48.6,47.9,35.3,36.8,68.2,-14,0,2016
37,30,117.5,89.8,0.9568,53,46.6,18.6,17.9,36.8,25.5,41.9,26.8,52.9,43.6,35.4,34.3,66.9,8.8,5,2019
31,6,89.8,113.2,0.0657,41.9,54.1,18.5,17.5,28.4,31.7,33.7,32,40.1,51.4,31,39.1,70.6,-20.2,0,2019
28,15,96.4,105.7,0.2581,48.7,52.6,19.1,21.4,28.2,27.1,33.5,36.8,48.3,50.8,33.1,37,69,-12.6,0,2019
32,15,111.9,105.2,0.6688,52.7,51.6,18.5,15.6,29.8,31.4,36.2,30.4,52.4,49.5,35.6,36.9,71.9,-4.1,0,2017
30,14,101.2,108.1,0.3207,51.3,52.4,19.5,17.1,26.8,28.3,38.1,32.8,49.8,50.8,35.7,36.3,70,-12.2,0,2022
25,15,103.3,106,0.4244,52.6,51.8,21.1,17.1,26.7,26.8,26.3,22,51.2,50.7,36.1,35.8,69.7,-7.6,0,2021
30,14,98.6,110.7,0.2097,49.1,51.9,19.7,18,24.5,30.9,34.2,34.3,46.3,51.2,35.3,35.3,72,-13.4,0,2019
31,8,94.4,107.1,0.1899,50.9,50.4,22.5,19.4,29.1,32.2,32.5,33.9,53,48.6,31.2,35.8,66.8,-17.5,0,2015
21,11,100,105.9,0.3391,48,49.6,19.4,17.5,30.8,28,34.6,27.9,44.8,47.9,37.4,35.2,67.8,-10.2,0,2021
35,22,107.5,96.3,0.7798,52.3,46.4,18.5,18.1,28.3,30,35.9,26.6,52.5,44.5,34.6,33.7,66.2,-1.7,0,2013
28,7,105.1,123,0.1413,50.1,59.5,16.1,15,27,30.8,21.6,36.1,49.3,56.7,34.1,43.1,70.1,-19.5,0,2018
27,14,98.5,106.5,0.2907,49.3,50.1,19.1,20.4,30.9,28.9,34.1,40.1,47.6,48.8,35.9,34.8,66.8,-12.4,0,2018
32,20,109.8,99.2,0.7618,52.5,46.5,15.8,16.4,30.5,28.3,28.4,35,51.6,43.4,35.8,34.5,64.5,-2,0,2016
33,23,100.6,92.9,0.716,47.1,45.5,17.7,19.7,30.8,28.5,41.4,30.9,46.5,42.8,32.3,33.3,64.3,-0.4,0,2015
29,13,101.6,107.5,0.3434,50.5,52.3,16.1,18.3,20.3,31,34,35.6,47.5,51.7,37.5,35.8,74.1,-10.6,0,2017
28,10,93.5,106.2,0.188,45.3,48.3,20,17.6,29.7,32.7,33,34.7,44.1,47.6,32,33.1,66,-13,0,2015
32,14,109.3,98.8,0.7632,50.8,52,16.9,19.8,25.9,29.8,30.8,22.7,51.4,51.7,33.3,34.9,68.3,-5.1,0,2019
33,22,110.4,96.1,0.8325,49.1,47,16,18.3,30.1,34,37.6,26.5,47.6,46.5,34.6,32.2,68.7,1.9,0,2018
31,3,83.3,110.2,0.0385,42.4,50.3,25.5,16,32.4,34.4,31.5,29,42,48.9,30.3,35.8,70.3,-21.4,0,2013
26,12,102.7,102.6,0.5027,49.9,51.1,18.9,17.8,28,26.2,22.6,30.2,51.6,46.4,31.4,38.1,66,-9.8,0,2021
29,6,102.7,117.9,0.1694,48.1,58.8,16.2,19.5,30,32.7,35.1,49.7,45.8,59.4,34.9,38.2,69.6,-17.5,0,2014
29,12,95.8,106.2,0.2328,45.6,50.6,20.6,17.2,31.4,29.8,33.6,37.6,44.5,51.5,31.6,32.3,65.8,-11.7,0,2015
32,25,110.3,96.8,0.8186,53.1,49.2,18.6,19.1,30.7,22.3,30.1,40.8,51.9,50.4,37.1,31.5,67.7,0.8,0,2018
34,28,107.5,92.2,0.8529,51.4,44,18.6,19,30.4,28.5,29.9,32.6,48.6,41.1,37,32.5,66.2,1.8,0,2017
31,12,99.9,110.1,0.2456,49.8,53.3,19.2,21.1,30.1,34.1,37.9,45.4,49.2,51,34,38.9,66.8,-14.1,0,2015
31,27,106,96,0.7579,51.9,45.2,20.8,16.8,32.6,25.7,34.6,28.3,53.2,45.6,33.4,29.8,66.1,0.7,3,2022
31,11,109,111,0.4495,50.2,57.1,16.1,19.7,25,30.4,37.7,42.9,47,55.8,36.6,39.3,68.6,-10.7,0,2014
32,15,100,98,0.558,48.4,50.7,21.8,22.4,33.5,30.8,29.4,38.6,47.9,49,32.8,36.1,71.2,-8.2,0,2013
32,10,101.6,106.1,0.3798,48.9,49.9,20,17.6,29,30.2,37.1,33.3,48.3,47.9,33.4,35.9,71.7,-14.7,0,2017
31,12,97.1,105.5,0.2767,46.8,52.1,20.7,16.6,31.8,25.5,30.5,29.7,46.4,53.2,31.7,33.8,68.2,-13.5,0,2019
24,14,106.7,105.9,0.5209,53.2,49.5,15.4,15.4,21.7,24.4,33.1,35.3,50.5,47.3,39.1,35.4,69.2,-7.3,0,2021
33,15,110.9,107,0.6007,51.4,55.4,14.3,18.3,24.4,32.2,31.9,29.9,48.7,55.9,36.6,36.4,71.7,-6.3,0,2017
37,29,111.7,90.9,0.9146,50.5,47.2,18.9,20.3,32.8,27,35.8,35.7,50.9,45.3,33.2,33.5,70,7.6,4,2019
32,15,107.3,95,0.8011,50.5,49.4,21,18.1,31.9,25.7,29.8,38.1,47.6,50.6,36.3,31.9,66.1,-3,0,2019
28,15,92.3,105.7,0.1742,43.3,49.9,20.2,20.6,34.3,29,31.9,37.4,42.1,47.7,30.6,35.7,70.4,-12.5,0,2022
34,19,110.1,98.1,0.7905,48.1,47.9,17.4,20.5,33.4,35.7,41.2,44.6,47.3,47.2,33.1,33.1,78.2,-2.2,0,2016
34,29,104.4,98.1,0.6724,51.2,51,17.1,22.2,31.4,29.7,30.6,32.2,51.4,50.1,33.8,35,69,1.9,0,2019
32,15,108.3,101.8,0.6706,48.7,50.5,15.5,16,30,29.5,35.1,27.1,47.1,47.3,34.6,37.5,71.2,-5,0,2018
28,12,104.2,108.7,0.3809,47.9,52.9,18.2,20.3,35.2,31.3,42.1,29.7,47.3,51.5,32.7,36.7,66.2,-11.3,0,2015
31,12,100,105.8,0.343,49.5,49,21,19,34.3,31.5,38.7,52.5,45.4,50,38.6,31.4,65.4,-14.3,0,2014
33,15,98.1,95,0.589,43.6,48,17.2,20.5,33.3,29.1,30.5,30.8,43.4,47.6,29.6,32.5,67.2,-6.8,0,2018
26,19,99.9,100.7,0.4785,50.6,48.9,18.5,20.2,30.9,31.8,31.9,37.2,52.1,50.9,31.9,30.8,66.2,-2.7,2,2021
29,7,100.9,117.3,0.1504,48.8,57.6,16.9,19.3,26.7,35.8,31.1,44.4,50.1,59.8,31.7,35.2,81.9,-17.8,0,2016
35,23,118.4,96.6,0.912,54.7,48.4,16.3,18.8,28.3,30.1,30,23.6,55,47.1,36.2,33.6,69.1,4.3,2,2019
34,25,116.9,95.6,0.9103,54.3,47.6,15.8,18.5,28.3,29.6,36.5,24,54.3,45.2,36.2,34.7,69.8,7,2,2015
19,5,98.9,94.3,0.6346,46.1,48,22.1,20.1,31.8,31.6,23.7,35.3,45.7,49.1,31.5,30.9,70.2,-5.8,0,2021
28,18,108.8,91.6,0.8777,48.5,48.7,20.5,19.3,41.2,26.3,34.9,27.1,48.9,46.8,31.7,34.4,71.8,2.3,2,2021
29,21,104.1,103.9,0.5039,51.8,52.1,19.3,17.8,30.1,29,28.9,32,53.4,52.6,33.1,34.4,69.2,-4.6,0,2022
27,9,96.7,107.6,0.2276,48.7,51.5,17.9,19.8,22.4,36.1,32.3,35.8,47,49.7,34.1,36.4,73.3,-11.6,0,2016
31,17,102.4,101.7,0.5195,49,47.6,18.1,16,28.9,26.1,31.6,29.3,49.2,49,32.5,29.7,64,-9.8,0,2023
32,17,104.8,99,0.6588,50.6,49.3,20,15.1,29.3,26.3,33.3,34,48.8,46.6,35.8,35.7,69.2,-4.5,0,2018
32,17,100.5,98.9,0.5469,47,48,20.3,18.1,31,28,34.5,38,47.9,50,30.5,29.9,67.9,-7.5,0,2019
33,19,105.7,106.2,0.4866,52,50.8,18.1,16.9,28,28.6,35.5,27.8,51.4,48.5,35.2,37.3,72,-8,0,2018
31,15,102.5,103.2,0.4797,51.4,46.1,22.6,16.1,32.7,31.1,45.8,43.9,50.7,43.8,35,34.1,65.4,-8.6,0,2014
31,15,107.7,102.7,0.6327,50,49.7,18.3,17.2,35,30.7,36.1,35.9,46.9,49,37.8,34.1,64.5,-6.2,0,2015
31,10,92.4,101.2,0.258,46.5,51.3,23.6,20.9,31.1,28.3,32.8,41.8,47.3,48.5,29.6,38.3,64.1,-14.5,0,2015
39,31,122.1,96.4,0.9385,57.5,49.1,16.6,18.2,29.4,31.2,27,24.6,55.6,48.6,40.1,33.3,69.9,8.2,6,2018
40,36,128.4,94.1,0.9725,59.5,48.5,15,18.2,29.6,27.1,29.4,26.7,59,49,40.1,31.7,69.6,10.6,8,2018
26,13,107.7,94.7,0.8151,48.3,48.6,17.2,16.8,29.1,29.9,31.6,30.1,48.5,50.6,32,29.7,66.7,-1.8,0,2021
24,9,101.6,110.9,0.2684,51.9,53,19.5,19.3,28.7,33.2,31.1,33.9,49.4,54.8,37.5,33.5,71,-12,0,2021
24,11,88.6,102.1,0.1641,45.4,51,22,23.8,27.3,29.9,31,35.8,44.3,51.3,31.2,33.7,67.6,-11.4,0,2022
21,8,100.5,113.2,0.2041,52.7,50.3,21.5,16.2,25.8,35.9,25.4,31.8,51.2,50.1,36.2,33.9,67.2,-11.3,0,2021
24,13,103.9,102.7,0.5331,54.7,49.6,19.3,19.5,27.6,26.1,26.1,31.4,54.6,50.1,36.6,32.6,66.3,-10.4,0,2021
30,19,112.8,112.1,0.5198,56.2,52.2,16.1,15.8,24.3,30.8,39.6,29.3,53,50.5,40.4,37.1,65.1,-5.3,0,2014
34,21,103.5,92.5,0.7833,48.1,45.3,18.7,16.6,32.9,24,37.7,34.1,46.6,43.4,34,32.8,67,-0.9,0,2017
30,8,91.7,116.6,0.0593,43.9,54.4,19.1,18.9,28,33.1,40,40,41.7,55,31.7,35.6,70,-17.8,0,2017
34,18,104.3,95,0.7446,48,49.7,18.7,20.2,31.8,28.3,39.1,32.8,47.5,48.8,32.6,34.1,69.2,-3.4,0,2019
29,4,96,117.8,0.087,47.7,51.6,19.2,14.8,27,34.6,34.4,36.4,45.1,51.1,35.7,35.1,65.6,-20.1,0,2014
30,5,91.4,109.2,0.1151,44.6,52.3,21.6,20.4,26.2,32.5,39.8,33.8,43.9,49.8,30.6,37.5,63.6,-19.3,0,2015
30,19,99.4,97.9,0.5449,49.7,48.9,18.3,18.2,25.6,26.7,32.2,32.1,50.1,51.2,32.6,30.5,68.9,-4.9,2,2022
31,15,107.3,97.9,0.7409,48.7,47.9,21.3,19.6,35.8,34.4,32.4,39.8,47,47.7,35.7,32.2,64.5,-4.1,0,2013
34,28,107.1,94.6,0.8065,51.7,44,19.3,16.3,28.9,29.1,35.6,28.7,52.5,42.8,33.4,31.1,69.8,-0.3,0,2023
38,32,110.8,89.5,0.9205,49.3,46.5,17.3,19.1,31.6,26.1,33.2,30.2,48.4,49.3,34,28.3,65.7,5.7,7,2023
29,14,101,105.2,0.3849,49,49.6,22,18,34.2,28.4,38.8,40.2,48.4,47.4,33.3,34.9,68.9,-13.1,0,2018
32,25,106.9,92.3,0.8439,55.6,46.9,18.5,20.1,25.1,24,31.5,28.9,54.9,47.3,37.6,30.9,64.6,1.8,2,2022
33,19,114.5,93.2,0.9148,52.9,43.1,16.8,14.2,27.2,29.3,39.8,34.4,50.1,42.6,38.2,29.4,68.7,-0.3,1,2016
37,27,110.4,93.7,0.8679,52.8,44.8,20.2,21.2,35,30.5,43.8,38.7,51.6,42.7,37.9,32.1,66.2,1.4,0,2014
31,20,106,98.7,0.6935,51.6,45.5,17.2,15.4,29.5,27,37,37,50.9,47.3,35,28.7,67.7,-4.3,0,2016
30,13,90,104,0.1592,44.6,49.2,20.4,20.7,28.7,27,34.3,44,45.9,46.8,27.9,35.5,67,-14.5,0,2019
34,18,107.6,95.6,0.7973,49.6,49.6,19.5,19.4,34.1,25.7,38.1,28.3,51.7,50.9,29.5,31.9,65.5,-2.4,0,2022
15,9,90.4,101.5,0.2095,43,48.1,19,24.1,30,34.1,37.7,43.5,44.7,48.5,26.7,31.6,70.5,-7.8,0,2021
31,6,104.2,104.6,0.4895,46.2,53.6,18.8,18,32.3,29.9,29,27.6,43.3,52.4,34.2,36.9,70.1,-13,0,2022
30,12,104.6,98.4,0.668,46,52,18.6,19.3,33.7,29.9,30,33.3,45.3,47.5,31.8,40.7,69.5,-5.4,0,2017
36,23,110,100,0.7501,53.3,50.3,17.1,19,31,26.8,31.7,36.3,53.1,48.4,35.7,35.6,68.6,-2.3,0,2018
36,26,112.9,92.4,0.9092,52.6,47.8,18.8,18.2,30.1,27.9,32.5,27.8,52.6,46,35,33.6,71.5,8.3,3,2019
34,15,110.5,102,0.7154,48,48.5,15.8,17.3,32.1,34.5,34.1,37.3,47.4,47.1,32.7,34.2,70,-5.8,0,2016
34,27,108.8,95.6,0.8155,52.9,46.9,15.5,17.5,23.8,22.4,28.4,27.4,51.9,46.9,36.4,31.3,66.3,-0.7,2,2023
29,15,98.8,101.8,0.4121,46.4,50.8,19.5,20.5,33.5,28.1,40.3,39.8,46.6,49.8,30.6,34.9,68.2,-12.1,0,2017
32,15,102.5,101,0.5408,49.3,49.1,20.1,21.2,34.7,28.2,34.7,55.2,48.4,48.4,34,33.7,65.7,-10.6,0,2015
28,11,98.1,105.2,0.3086,48,50.8,20.5,16.6,28.8,30.2,46,31.5,45,49.6,34.9,35.9,63.2,-11.9,0,2015
34,13,96.8,99.9,0.4118,45.4,48.4,19.5,18.4,32.1,29.8,31.3,36.2,45.5,46.4,30.1,35.2,68.5,-11.1,0,2016
18,4,86.1,111.8,0.047,43.5,48.9,22.3,20.6,29.5,29.6,42.7,36.9,41.3,49,31.7,32.5,70.1,-13.2,0,2021
35,14,92.7,110.2,0.1208,49.6,49.2,20.6,22.7,23.4,37.8,36.6,44.7,49.7,49.1,32.9,32.9,68.8,-16.3,0,2018
34,27,112.1,90.5,0.9213,52,47.1,16.4,19.2,32.6,21.9,32,29.9,50.8,45.7,36.1,33.3,61.9,3.4,3,2023
31,12,107.5,109.5,0.4469,54.1,53.5,19.4,16.4,24.6,31.2,24.7,28.5,51.7,54.2,37.7,34.9,69.6,-9.9,0,2018
27,6,97.1,114.9,0.1262,47.2,52.6,17,15.6,26.1,31.4,25.8,38.1,46.6,51.5,32,36.5,67.5,-18.6,0,2019
25,14,104.1,111.9,0.3028,52,51.4,15.7,17.9,25.7,31.5,45.3,39.6,51.8,50.6,35,35.5,67.7,-6,0,2015
37,20,100.4,104.9,0.3749,48.5,50.3,18.1,16.6,30.5,26.9,29.2,32.6,48,49.7,32.7,33.9,69.9,-10.3,0,2017
30,18,102.8,109.5,0.3262,54.1,51.7,16.2,20.2,20.5,35.4,29.1,27.3,52.3,51.6,37.3,34.6,66,-10.1,0,2018
36,26,117.1,94,0.9261,50.7,46.7,16.3,19.2,37.2,29,44.3,36.4,50.1,45.5,35.1,32.6,63.8,4.1,3,2014
30,18,102.9,101.4,0.5416,52.1,48.6,16.6,14.9,24.2,26.7,30.7,26.4,50.9,48.8,35.7,32.2,69.1,-7.8,0,2017
28,10,96.4,110.7,0.1693,49.6,50.5,18.9,17.3,25.7,30.1,30.5,27.4,50.3,50,32.1,34.4,64.5,-14.3,0,2013
30,9,101.1,102.6,0.4564,46.9,51.5,18,17.5,27.7,27.9,37.2,44.7,45.2,49.6,32.7,36.9,62.3,-9.3,0,2014
31,11,100.4,102.4,0.4438,47.3,50.5,18.9,17.8,27.9,32.3,41,40.1,44.3,49.6,34,34.8,72.5,-8.3,0,2016
23,9,103.8,94.1,0.7576,50.3,50.2,17.2,17.9,19.9,25.8,26.8,33.7,49.1,50.5,34.6,33.2,68.6,-2.9,0,2021
32,23,99.8,98.2,0.5459,51.7,47.6,19.3,19.6,22.8,27.3,30.6,29.8,54.6,46.7,32.2,33,63.7,-3.5,0,2023
30,16,98.2,91.1,0.7023,46.6,44.7,19.1,23.7,28.5,32.8,36.8,44.3,46,44.4,32,30,60.9,-4,0,2015
31,17,91.8,97.3,0.3399,48.3,49.4,22.2,24.9,25.8,30.8,30.7,41.5,46.9,48.5,33.4,34.2,64.2,-7.9,0,2013
35,20,98,100.9,0.4167,46.3,50.4,18,24.3,26.5,32.6,42.7,43.5,46,50.3,31.3,33.8,71.7,-8.2,0,2019
34,25,114.9,88.7,0.9513,55.2,43,18.2,18.3,31.3,28.4,43.4,34.3,52.3,41.4,40.1,31.2,61.4,3.7,4,2015
32,22,108.6,110,0.4632,54.2,51.2,17.1,14.5,27.3,27.8,34.8,36.9,53.7,48.2,36.8,37.7,67.8,-5.8,0,2017
33,17,109.4,98.3,0.7753,52.4,49.7,16.4,16.9,25.8,24.1,29.8,29.1,51.2,49.4,36.3,33.4,66.4,-3.7,0,2022
23,14,110.6,93.4,0.8748,52.5,47.5,20.7,20.5,30.7,31.5,33.8,34.8,51.9,48.4,35.7,30.6,68.6,1.4,3,2021
30,20,98.5,97.2,0.5373,50.4,48,20.3,20.9,24.5,27.5,36.7,31.3,50.2,50.1,33.8,30,72.4,-5.7,0,2019
30,13,100.7,108.1,0.3062,50.4,54.6,17.4,16.6,22.6,25.9,35.9,41.6,48.2,53.2,36.1,38.2,72.8,-12.3,0,2018
33,16,101.6,103.1,0.4566,47.1,49.2,19.2,17.4,33,28.9,37.1,33.1,46.9,49.2,31.6,32.9,67.4,-8,0,2023
32,18,102.1,96.6,0.6545,50.6,46.6,19.7,19.7,28,33,42.6,34.8,49.6,44.9,35.1,34,61.4,-5.8,0,2013
32,18,106.2,107.8,0.4565,48.9,50.8,14.6,16.3,28.1,26.6,34.8,35.9,47.5,50.5,34.1,34.2,72.5,-11.4,0,2019
27,4,90.9,109.4,0.106,48.4,53.5,24.1,21.9,27.3,34.1,31.5,39.6,46.6,53.1,34.8,36.2,66.1,-18,0,2013
32,22,113.3,96.6,0.8623,53.1,49,16.8,18.8,29.1,28.2,29.1,28.1,52.2,48.8,36.4,32.8,68.2,2.7,2,2018
36,23,106.7,93.9,0.8116,47.4,43.9,18.2,17.3,33.8,32.5,36.1,28.6,47.9,44.3,31,28.5,60,0.2,0,2014
29,13,102.7,111.9,0.2697,48.6,53.5,16.5,17.3,29.9,30.7,31.9,30.8,48,53.1,33.1,36,72.7,-13.4,0,2022
32,17,108.8,98.6,0.7561,51.6,49.7,17.4,17.1,25.1,26.9,31.5,33.4,51.9,45.8,34.1,38.1,69.7,-5.2,0,2017
28,15,106.8,111.5,0.3799,54.7,52.8,15.9,18.4,24.7,34.5,42.3,45.6,54.1,52.4,37,35.7,61.6,-8.8,0,2014
37,29,118.9,102.5,0.8462,54.8,49.4,13.5,18,26.7,29.3,36.3,30.1,52.1,50.7,39.2,31.7,70.7,2.5,4,2018
32,17,106.5,99.4,0.6903,50.2,45.3,17.3,16.2,26.7,32.4,32.7,29.9,48,42,36.1,35.1,65.7,-5.5,0,2015
37,33,123.4,89.9,0.9744,59,44.2,14.9,19,31.5,26.8,35.3,25.9,61.4,43.4,36.3,30.4,72,7,5,2019
30,5,91.2,108.9,0.1151,40.9,53.7,19,17.1,29.2,30.8,30.1,27.7,39.1,53.7,31.4,35.9,69.6,-18.6,0,2019
31,24,104.6,99.2,0.648,52.2,47.6,17.3,18.4,34.8,26,32.2,27.6,50.7,45.8,37.2,34.1,67.8,-1.1,2,2016
19,10,98.1,98.1,0.4999,51.6,48.3,19.5,17.2,20.2,26.3,26,29.3,50.4,48.3,35.4,32.3,67.3,-4.4,0,2021
33,23,118.3,100.3,0.8699,53.2,49.6,16.4,17.7,33.4,28.4,42.5,39.2,50.2,49.6,39,33.1,70.8,0.8,1,2015
32,19,107.1,113.7,0.3359,51.9,52.4,15.8,17.5,31.5,31.5,40.4,39,51.3,50.4,35.7,38.3,67.8,-8.1,0,2014
31,18,103.4,105.4,0.4449,53.5,50.3,17.3,17.2,26.2,26.6,24,27.6,53.9,51.2,35.1,32.6,71.2,-11,0,2023
37,30,114.6,85.6,0.9665,51.6,44.1,13.9,18,24.7,24.8,27.5,24.1,51.8,44.3,34.2,29.1,65.9,9.2,4,2019
31,17,103.3,98,0.646,47.7,48.4,18.5,20.5,30,28.2,30.9,38.4,46.2,48.7,33.3,31.9,68.3,-5.5,0,2016
34,24,101.4,98.7,0.5768,50.2,45,20.6,15.5,33.3,27.2,38.5,26.9,49.4,45,34.5,30,64.4,-3.8,0,2013
29,6,94.8,102.6,0.287,47.5,51.9,21.5,19.2,29.7,28.9,33.6,43.4,48,47.9,30.7,40,63.1,-16.5,0,2014
30,20,112.4,98.8,0.8163,56.2,49.1,19.2,17,30.9,24.5,33.1,31.2,57.4,46.9,36,35.6,69.8,-2.3,0,2017
30,22,103.2,105.7,0.4295,50.3,49.7,16.8,16.6,33.1,26.2,39.5,32.4,49.4,50.8,34.8,31.8,65.9,-6,0,2019
31,19,100.7,99.6,0.5314,48.4,49.8,16,17.9,26.3,26,27.6,21.7,46.9,50,33.5,33,64.4,-7,0,2022
31,24,104.4,97.7,0.6842,51.9,48.2,16.9,19.3,26.1,28.1,31.1,28.1,52.5,47.4,34,33,68.4,-2.6,0,2022
22,5,94.6,109.4,0.1584,49,53.7,20.8,18.7,24,29.6,29.8,35.2,47.7,54.6,33.9,34.7,68.7,-14.7,0,2021
31,14,108.7,99.1,0.7448,51.7,48.9,18,18.5,29.7,32.9,29.5,36.3,52.6,47.5,33.4,34.3,70.2,-6.2,0,2016
29,16,101.1,111.2,0.2513,46.9,53.7,19.4,18.8,38.7,28.5,37.3,43.3,48.3,54.6,29.8,34.8,70.5,-12,0,2019
29,23,107.6,95.4,0.7989,53.2,48.7,15.2,20.2,24.1,24.7,24.4,32,50.5,46.9,37.6,34.5,64.2,-0.4,2,2017
34,19,109.2,98.9,0.7562,52.5,49.1,18.6,22.8,27,35.8,43.2,43,49.4,48.4,37.8,33.9,64,-4,0,2013
31,15,105.6,115.7,0.2578,53.4,57.1,17.1,17.2,26.3,26.6,34.9,28.3,51.1,57.4,37.6,37.8,71.3,-12.3,0,2019
30,7,98.6,110.5,0.2122,49,52.7,17.9,17.5,24.1,29.5,27.8,33.4,47.7,50.9,34.6,37.2,66.9,-18.6,0,2018
31,11,98.1,106.5,0.2814,45.7,49.1,18.8,18.4,29.7,31.8,47.4,44.4,48.2,46.8,27.3,35.1,65.5,-13.5,0,2014
